2017-02-05 12:10:08,367 [14] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 9, Duration = 00:00:00.1123318 }
2017-02-05 12:10:17,985 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 10 }
2017-02-05 12:10:17,987 [7] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 10, Duration = 00:00:00.0030811 }
2017-02-05 12:10:17,988 [7] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 11 }
2017-02-05 12:10:17,990 [7] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 11, Duration = 00:00:00.0024075 }
2017-02-05 12:10:27,973 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 12 }
2017-02-05 12:10:27,976 [7] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 12, Duration = 00:00:00.0031903 }
2017-02-05 12:10:27,976 [7] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 13 }
2017-02-05 12:10:27,979 [7] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 13, Duration = 00:00:00.0023017 }
2017-02-05 12:10:37,983 [7] INFO  ApiCommand [(null)] - { Command = { "isMaster" : 1 }, CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 14 }
2017-02-05 12:10:37,986 [7] INFO  ApiCommand [(null)] - { CommandName = isMaster, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 14, Duration = 00:00:00.0031330 }
2017-02-05 12:10:37,986 [7] INFO  ApiCommand [(null)] - { Command = { "buildInfo" : 1 }, CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 15 }
2017-02-05 12:10:37,988 [7] INFO  ApiCommand [(null)] - { CommandName = buildInfo, ConnectionId = { ServerId : { ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }, LocalValue : 1, ServerValue : "27" }, OperationId = , RequestId = 15, Duration = 00:00:00.0021307 }
